locus_tag	ftype	length_bp	gene	EC_number	COG	product
PROD_00875	CDS	732		3.1.3.-	COG0637	Phosphorylated carbohydrates phosphatase
PROD_00876	CDS	576				hypothetical protein
PROD_00877	CDS	138				hypothetical protein
PROD_00878	CDS	516				hypothetical protein
PROD_00879	CDS	705				hypothetical protein
PROD_00880	CDS	645				hypothetical protein
PROD_00881	CDS	687	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
PROD_00882	CDS	105				hypothetical protein
PROD_00883	CDS	1521				hypothetical protein
PROD_00884	CDS	726				hypothetical protein
PROD_00885	CDS	942				hypothetical protein
PROD_00886	CDS	2361				hypothetical protein
PROD_00887	CDS	486				hypothetical protein
PROD_00888	CDS	1026	ccpA		COG1609	Catabolite control protein A
PROD_00889	CDS	1023	yrbG		COG0530	Inner membrane protein YrbG
PROD_00890	CDS	576	purN	2.1.2.2		Phosphoribosylglycinamide formyltransferase
PROD_00891	CDS	1065				hypothetical protein
PROD_00892	CDS	420	hslR		COG1188	Heat shock protein 15
PROD_00893	CDS	570	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
PROD_00894	CDS	606	ctc		COG1825	General stress protein CTC
PROD_00895	CDS	948				hypothetical protein
PROD_00896	CDS	330				hypothetical protein
PROD_00897	CDS	981				hypothetical protein
PROD_00898	CDS	579	coaE	2.7.1.24		Dephospho-CoA kinase
PROD_00899	CDS	444				hypothetical protein
PROD_00900	CDS	1029	exuR		COG1609	putative HTH-type transcriptional repressor ExuR
PROD_00901	CDS	2958				hypothetical protein
PROD_00902	CDS	261				hypothetical protein
PROD_00903	CDS	231				hypothetical protein
PROD_00904	CDS	1059	aroB	4.2.3.4		3-dehydroquinate synthase
PROD_00905	CDS	774				hypothetical protein
PROD_00906	CDS	2595				hypothetical protein
PROD_00907	CDS	1329				hypothetical protein
PROD_00908	CDS	696	gph_1	3.1.3.18		Phosphoglycolate phosphatase
PROD_00909	CDS	888				hypothetical protein
PROD_00910	CDS	618	cat3	2.3.1.28		Chloramphenicol acetyltransferase 3
PROD_00911	CDS	756	rhaS_1			HTH-type transcriptional activator RhaS
PROD_00912	CDS	1086	esiB_1			Secretory immunoglobulin A-binding protein EsiB
PROD_00913	CDS	753				hypothetical protein
PROD_00914	CDS	1173	esiB_2			Secretory immunoglobulin A-binding protein EsiB
PROD_00915	CDS	1434				hypothetical protein
PROD_00916	CDS	264				hypothetical protein
PROD_00917	CDS	4875	rep	3.6.4.12		ATP-dependent DNA helicase Rep
PROD_00918	CDS	162				hypothetical protein
PROD_00919	CDS	1251				hypothetical protein
PROD_00920	CDS	615				hypothetical protein
PROD_00921	CDS	3030				hypothetical protein
PROD_00922	CDS	1215				hypothetical protein
PROD_00923	CDS	543				hypothetical protein
PROD_00924	CDS	3648				hypothetical protein
PROD_00925	CDS	861				hypothetical protein
PROD_00926	CDS	1917	dnaK_2		COG0443	Chaperone protein DnaK
PROD_00927	CDS	1296				hypothetical protein
PROD_00928	CDS	846				hypothetical protein
PROD_00929	CDS	216				hypothetical protein
PROD_00930	CDS	777	tagA_2	2.4.1.187	COG1922	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
PROD_00931	CDS	1176	gtf1_2	2.4.1.-		Glycosyltransferase Gtf1
PROD_00932	CDS	1017	arnC_3	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
PROD_00933	CDS	1041				hypothetical protein
PROD_00934	CDS	810				hypothetical protein
PROD_00935	CDS	1014				hypothetical protein
PROD_00936	CDS	1176	mshA_4	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
PROD_00937	CDS	1200				hypothetical protein
PROD_00938	CDS	459				hypothetical protein
PROD_00939	CDS	645				hypothetical protein
PROD_00940	CDS	1149				hypothetical protein
PROD_00941	CDS	804				hypothetical protein
PROD_00942	CDS	963	arnC_4	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
PROD_00943	CDS	1206	mshA_5	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
PROD_00944	CDS	516				hypothetical protein
PROD_00945	CDS	930				hypothetical protein
PROD_00946	CDS	282				hypothetical protein
PROD_00947	CDS	222				hypothetical protein
PROD_00948	CDS	882	arnC_5	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
PROD_00949	CDS	1548				hypothetical protein
PROD_00950	CDS	1044				hypothetical protein
PROD_00951	CDS	927				hypothetical protein
PROD_00952	CDS	1902	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
PROD_00953	CDS	123				hypothetical protein
PROD_00954	CDS	2583				hypothetical protein
PROD_00955	CDS	1122				hypothetical protein
PROD_00956	CDS	510				hypothetical protein
PROD_00957	CDS	231				hypothetical protein
PROD_00958	CDS	741				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
PROD_00959	CDS	249				hypothetical protein
PROD_00960	CDS	801	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
PROD_00961	CDS	969				hypothetical protein
PROD_00962	CDS	1461	pepD_1	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
PROD_00963	CDS	135				hypothetical protein
PROD_00964	CDS	927				hypothetical protein
PROD_00965	CDS	1872				hypothetical protein
PROD_00966	misc_RNA	187				Cobalamin
PROD_00967	CDS	2010	btuB_2		COG4206	Vitamin B12 transporter BtuB
PROD_00968	CDS	1164				hypothetical protein
PROD_00969	CDS	1137				hypothetical protein
PROD_00970	CDS	1005	btuC		COG4139	Vitamin B12 import system permease protein BtuC
PROD_00971	tRNA	72				tRNA-Gln(ctg)
PROD_00972	CDS	360	rsfS			Ribosomal silencing factor RsfS
PROD_00973	CDS	2010	ftsH	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
PROD_00974	CDS	849				hypothetical protein
PROD_00975	CDS	1011				hypothetical protein
PROD_00976	CDS	1191	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
PROD_00977	CDS	786	surE	3.1.3.5	COG0496	5'-nucleotidase SurE
PROD_00978	CDS	129				hypothetical protein
PROD_00979	CDS	168				hypothetical protein
PROD_00980	CDS	147				hypothetical protein
PROD_00981	CDS	762	soj	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
PROD_00982	CDS	927	parB		COG1475	putative chromosome-partitioning protein ParB
PROD_00983	CDS	741				hypothetical protein
PROD_00984	CDS	1326				hypothetical protein
PROD_00985	CDS	2271	relA_2	2.7.6.5	COG0317	GTP pyrophosphokinase
PROD_00986	CDS	990	pemA	3.1.1.11		Pectinesterase A
PROD_00987	CDS	1245				hypothetical protein
PROD_00988	CDS	939				hypothetical protein
PROD_00989	CDS	987			COG2826	IS30 family transposase ISSde3
PROD_00990	CDS	915				IS982 family transposase IS195
PROD_00991	CDS	351				hypothetical protein
PROD_00992	CDS	1116				hypothetical protein
PROD_00993	CDS	1257				hypothetical protein
PROD_00994	CDS	2622	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
PROD_00995	CDS	1338	gltD_1	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
PROD_00996	CDS	669				hypothetical protein
PROD_00997	CDS	1095	dinB	2.7.7.7	COG0389	DNA polymerase IV
PROD_00998	CDS	1392				hypothetical protein
PROD_00999	CDS	567	sfp	2.7.8.7	COG2091	4'-phosphopantetheinyl transferase Sfp
PROD_01000	CDS	1590	recD2_1	3.6.4.12		ATP-dependent RecD-like DNA helicase
PROD_01001	CDS	4077	rcsC_5	2.7.13.3		Sensor histidine kinase RcsC
PROD_01002	CDS	591				hypothetical protein
PROD_01003	CDS	417				hypothetical protein
PROD_01004	CDS	339				hypothetical protein
PROD_01005	CDS	594				hypothetical protein
PROD_01006	CDS	198				hypothetical protein
PROD_01007	CDS	681				hypothetical protein
PROD_01008	CDS	1107	xerC_2			Tyrosine recombinase XerC
PROD_01009	CDS	756				hypothetical protein
PROD_01010	CDS	5811				hypothetical protein
PROD_01011	CDS	453				hypothetical protein
PROD_01012	CDS	2091	topB_1	5.99.1.2	COG0550	DNA topoisomerase 3
PROD_01013	CDS	1602				hypothetical protein
PROD_01014	CDS	315				hypothetical protein
PROD_01015	CDS	357				hypothetical protein
PROD_01016	CDS	294				hypothetical protein
PROD_01017	CDS	306				hypothetical protein
PROD_01018	CDS	363				hypothetical protein
PROD_01019	CDS	1236	xerC_3			Tyrosine recombinase XerC
PROD_01020	CDS	1428	sglT_1			Sodium/glucose cotransporter
PROD_01021	CDS	1413	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
PROD_01022	CDS	699	regX3		COG0745	Sensory transduction protein regX3
PROD_01023	tRNA	77				tRNA-Asp(gtc)
PROD_01024	CDS	4413	rcsC_6	2.7.13.3		Sensor histidine kinase RcsC
PROD_01025	CDS	1614				hypothetical protein
PROD_01026	CDS	2682				hypothetical protein
PROD_01027	CDS	1377				hypothetical protein
PROD_01028	CDS	1470				hypothetical protein
PROD_01029	CDS	1443				hypothetical protein
PROD_01030	CDS	1188	ugl	3.2.1.180		Unsaturated chondroitin disaccharide hydrolase
PROD_01031	CDS	2340				hypothetical protein
PROD_01032	CDS	105				hypothetical protein
PROD_01033	CDS	2184				hypothetical protein
PROD_01034	CDS	312				DNA base-flipping protein
PROD_01035	CDS	1278				hypothetical protein
PROD_01036	CDS	1251	hflX		COG2262	GTPase HflX
PROD_01037	CDS	1857				hypothetical protein
PROD_01038	CDS	2904				hypothetical protein
PROD_01039	CDS	444	nlpE		COG3015	Lipoprotein NlpE
PROD_01040	CDS	1650	fumA	4.2.1.2	COG1838	Fumarate hydratase class I, aerobic
PROD_01041	CDS	585				hypothetical protein
PROD_01042	CDS	3090				hypothetical protein
PROD_01043	CDS	543	mtcA1	4.2.1.1	COG0288	Beta-carbonic anhydrase 1
PROD_01044	CDS	474	yafP	2.3.1.-	COG0454	putative N-acetyltransferase YafP
PROD_01045	CDS	213				hypothetical protein
PROD_01046	CDS	1293			COG2081	putative protein
PROD_01047	CDS	483	ftnA	1.16.3.2		Bacterial non-heme ferritin
PROD_01048	CDS	759	kdsA_2	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
PROD_01049	CDS	948	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
PROD_01050	CDS	3717				hypothetical protein
PROD_01051	CDS	1263	ywiE	2.7.8.-	COG1502	putative cardiolipin synthase YwiE
PROD_01052	CDS	1149				hypothetical protein
PROD_01053	CDS	2259				hypothetical protein
PROD_01054	CDS	963				hypothetical protein
PROD_01055	CDS	2520		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
PROD_01056	CDS	1422	radA	3.6.4.-	COG1066	DNA repair protein RadA
PROD_01057	CDS	795	loiP_2	3.4.24.-	COG0501	Metalloprotease LoiP
PROD_01058	CDS	246				hypothetical protein
PROD_01059	CDS	189				hypothetical protein
PROD_01060	CDS	675	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
PROD_01061	CDS	636				hypothetical protein
PROD_01062	CDS	420				hypothetical protein
PROD_01063	CDS	1251	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
PROD_01064	CDS	825				hypothetical protein
PROD_01065	CDS	1833				hypothetical protein
PROD_01066	CDS	702				hypothetical protein
PROD_01067	CDS	900	ddh	1.4.1.16		Meso-diaminopimelate D-dehydrogenase
PROD_01068	CDS	1137				hypothetical protein
PROD_01069	CDS	603	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
PROD_01070	CDS	7698				hypothetical protein
PROD_01071	CDS	135				hypothetical protein
PROD_01072	CDS	1440	pehX	3.2.1.82		Exo-poly-alpha-D-galacturonosidase
PROD_01073	CDS	1185	patB	4.4.1.8	COG1168	Cystathionine beta-lyase PatB
PROD_01074	CDS	1410	yeeO		COG0534	putative FMN/FAD exporter YeeO
PROD_01075	CDS	837				hypothetical protein
PROD_01076	CDS	168				hypothetical protein
PROD_01077	CDS	255				hypothetical protein
PROD_01078	CDS	2046				hypothetical protein
PROD_01079	CDS	129				hypothetical protein
PROD_01080	CDS	1113	haeIIIM	2.1.1.37		Modification methylase HaeIII
PROD_01081	CDS	1074				IS1595 family transposase ISCco3
PROD_01082	CDS	1065				hypothetical protein
PROD_01083	CDS	2058				hypothetical protein
PROD_01084	CDS	2136				hypothetical protein
PROD_01085	CDS	666				hypothetical protein
PROD_01086	CDS	486				hypothetical protein
PROD_01087	CDS	192				hypothetical protein
PROD_01088	CDS	1620				hypothetical protein
PROD_01089	CDS	387				hypothetical protein
PROD_01090	CDS	1992	dnaG_1	2.7.7.-		DNA primase
PROD_01091	CDS	339	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
PROD_01092	CDS	585	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
PROD_01093	CDS	1419	clsA	2.7.8.-	COG1502	Major cardiolipin synthase ClsA
PROD_01094	CDS	534	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
PROD_01095	CDS	831				hypothetical protein
PROD_01096	CDS	1047				hypothetical protein
PROD_01097	CDS	1590	nadB	1.4.3.16	COG0029	L-aspartate oxidase
PROD_01098	CDS	555				hypothetical protein
PROD_01099	CDS	1932				hypothetical protein
PROD_01100	CDS	1761				hypothetical protein
PROD_01101	CDS	459				hypothetical protein
PROD_01102	CDS	936				hypothetical protein
PROD_01103	CDS	1446				hypothetical protein
PROD_01104	CDS	846				hypothetical protein
PROD_01105	CDS	1254				hypothetical protein
PROD_01106	CDS	1167				hypothetical protein
PROD_01107	CDS	216				hypothetical protein
PROD_01108	CDS	513				hypothetical protein
PROD_01109	CDS	912				hypothetical protein
PROD_01110	CDS	831				hypothetical protein
PROD_01111	CDS	822	ycsE	3.1.3.104		5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YcsE
PROD_01112	CDS	498	sigW_1		COG1595	ECF RNA polymerase sigma factor SigW
PROD_01113	CDS	612				hypothetical protein
PROD_01114	CDS	912				hypothetical protein
PROD_01115	CDS	789	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
PROD_01116	CDS	969				hypothetical protein
PROD_01117	CDS	993			COG0451	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
PROD_01118	CDS	252				hypothetical protein
PROD_01119	CDS	2196	rnr	3.1.13.1	COG0557	Ribonuclease R
PROD_01120	CDS	651				hypothetical protein
PROD_01121	CDS	2505				hypothetical protein
PROD_01122	CDS	447				hypothetical protein
PROD_01123	CDS	429				hypothetical protein
PROD_01124	CDS	1353				hypothetical protein
PROD_01125	CDS	783	zupT		COG0428	Zinc transporter ZupT
PROD_01126	CDS	132				hypothetical protein
PROD_01127	CDS	1044	tolB			Protein TolB
PROD_01128	CDS	723				hypothetical protein
PROD_01129	CDS	1998				hypothetical protein
PROD_01130	CDS	627				hypothetical protein
PROD_01131	CDS	1707				hypothetical protein
PROD_01132	CDS	1209	xerC_4			Tyrosine recombinase XerC
PROD_01133	CDS	363				hypothetical protein
PROD_01134	CDS	1113				hypothetical protein
PROD_01135	CDS	966				hypothetical protein
PROD_01136	CDS	1404				hypothetical protein
PROD_01137	CDS	447				hypothetical protein
PROD_01138	CDS	954				hypothetical protein
PROD_01139	CDS	372				hypothetical protein
PROD_01140	CDS	1173				hypothetical protein
PROD_01141	CDS	2568				hypothetical protein
PROD_01142	CDS	291				hypothetical protein
PROD_01143	CDS	1338				hypothetical protein
PROD_01144	CDS	945				hypothetical protein
PROD_01145	CDS	1740				hypothetical protein
PROD_01146	CDS	3567				hypothetical protein
PROD_01147	CDS	1020				hypothetical protein
PROD_01148	CDS	492				hypothetical protein
PROD_01149	CDS	150				hypothetical protein
PROD_01150	CDS	174				hypothetical protein
PROD_01151	CDS	1461	rlmCD	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
PROD_01152	CDS	1125				hypothetical protein
PROD_01153	CDS	237				hypothetical protein
PROD_01154	CDS	2382				hypothetical protein
PROD_01155	CDS	3657				hypothetical protein
PROD_01156	CDS	1437	pyk	2.7.1.40	COG0469	Pyruvate kinase
PROD_01157	CDS	276			COG0776	DNA-binding protein HU
PROD_01158	CDS	90				hypothetical protein
PROD_01159	CDS	1575	rng	3.1.26.-	COG1530	Ribonuclease G
PROD_01160	CDS	1182				hypothetical protein
PROD_01161	CDS	1056				hypothetical protein
PROD_01162	CDS	696				hypothetical protein
PROD_01163	CDS	501				hypothetical protein
PROD_01164	CDS	1665	amy	3.2.1.1		Alpha-amylase
PROD_01165	CDS	171				hypothetical protein
PROD_01166	CDS	885	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
PROD_01167	CDS	972	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase ManA
PROD_01168	CDS	1143	rcsC_7	2.7.13.3		Sensor histidine kinase RcsC
PROD_01169	CDS	3228	carB	6.3.5.5		Carbamoyl-phosphate synthase large chain
PROD_01170	CDS	1077	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
PROD_01171	CDS	1896	purF_1	2.4.2.14	COG0034	Amidophosphoribosyltransferase
PROD_01172	CDS	1845	glmS_2	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
PROD_01173	CDS	810				hypothetical protein
PROD_01174	CDS	1401	uxaC	5.3.1.12	COG1904	Uronate isomerase
PROD_01175	CDS	1035	ansA	3.5.1.1	COG0252	L-asparaginase 1
PROD_01176	CDS	543	rbr_2		COG1592	Rubrerythrin
PROD_01177	CDS	969				hypothetical protein
PROD_01178	CDS	1821	ilvB_2	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
PROD_01179	CDS	954	yfdH	2.4.1.-	COG0463	Prophage bactoprenol glucosyl transferase 
PROD_01180	CDS	1362	hldD	5.1.3.20		ADP-L-glycero-D-manno-heptose-6-epimerase
PROD_01181	CDS	1827				hypothetical protein
PROD_01182	CDS	1077	rfbG	4.2.1.45	COG0451	CDP-glucose 4,6-dehydratase
PROD_01183	CDS	1344	colD	4.2.1.168		GDP-4-keto-6-deoxy-D-mannose 3-dehydratase
PROD_01184	CDS	780	rfbF	2.7.7.33	COG1208	Glucose-1-phosphate cytidylyltransferase
PROD_01185	CDS	126				hypothetical protein
PROD_01186	CDS	888				hypothetical protein
PROD_01187	CDS	3186	lacZ_2	3.2.1.23	COG3250	Beta-galactosidase
PROD_01188	CDS	699				hypothetical protein
PROD_01189	CDS	738				hypothetical protein
PROD_01190	CDS	804	nth	4.2.99.18		Endonuclease III
PROD_01191	CDS	501				hypothetical protein
PROD_01192	CDS	375				hypothetical protein
PROD_01193	CDS	552	sigW_2		COG1595	ECF RNA polymerase sigma factor SigW
PROD_01194	CDS	1455				hypothetical protein
PROD_01195	CDS	318				hypothetical protein
PROD_01196	CDS	915	rnz	3.1.26.11	COG1234	Ribonuclease Z
PROD_01197	CDS	603				hypothetical protein
PROD_01198	CDS	873	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
PROD_01199	CDS	1704	cptA_1	2.7.-.-	COG2194	Phosphoethanolamine transferase CptA
PROD_01200	CDS	1185				hypothetical protein
PROD_01201	CDS	945				hypothetical protein
PROD_01202	CDS	429				hypothetical protein
PROD_01203	CDS	2343	mrcA_1		COG5009	Penicillin-binding protein 1A
PROD_01204	CDS	996	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
PROD_01205	CDS	456	pyrI		COG1781	Aspartate carbamoyltransferase regulatory chain
PROD_01206	CDS	1281	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
PROD_01207	CDS	2583				hypothetical protein
PROD_01208	CDS	2634				hypothetical protein
PROD_01209	misc_RNA	187				Bacteroidales-1
PROD_01210	CDS	600	ribE	2.5.1.9	COG0307	Riboflavin synthase
PROD_01211	CDS	1347	tolC		COG1538	Outer membrane protein TolC
PROD_01212	CDS	1179	mdtA_1			Multidrug resistance protein MdtA
PROD_01213	CDS	756	yknY_2	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
PROD_01214	CDS	1239	macB_1	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
PROD_01215	CDS	1062				hypothetical protein
PROD_01216	CDS	711	btsR_1		COG3279	Transcriptional regulatory protein BtsR
PROD_01217	CDS	642	gph_2	3.1.3.18	COG0546	Phosphoglycolate phosphatase
PROD_01218	CDS	2697				hypothetical protein
PROD_01219	CDS	1026				hypothetical protein
PROD_01220	CDS	459				hypothetical protein
PROD_01221	CDS	351				hypothetical protein
PROD_01222	CDS	825	bamD			Outer membrane protein assembly factor BamD
PROD_01223	CDS	2040	uvrB		COG0556	UvrABC system protein B
PROD_01224	CDS	606				hypothetical protein
PROD_01225	CDS	252				hypothetical protein
PROD_01226	CDS	2358				hypothetical protein
PROD_01227	CDS	2196				hypothetical protein
PROD_01228	CDS	654				hypothetical protein
PROD_01229	CDS	909	menA	2.5.1.74		1,4-dihydroxy-2-naphthoate octaprenyltransferase
PROD_01230	CDS	900	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
PROD_01231	CDS	3339				hypothetical protein
PROD_01232	CDS	1650				hypothetical protein
PROD_01233	CDS	3126				hypothetical protein
PROD_01234	CDS	2049				hypothetical protein
PROD_01235	CDS	1047	yhcG_3	3.1.-.-	COG4804	Putative nuclease YhcG
PROD_01236	CDS	846				hypothetical protein
PROD_01237	CDS	1725	recD2_2	3.6.4.12		ATP-dependent RecD-like DNA helicase
PROD_01238	CDS	96				hypothetical protein
PROD_01239	CDS	1620	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
PROD_01240	CDS	585	grpE		COG0576	Protein GrpE
PROD_01241	CDS	1158	dnaJ_2		COG0484	Chaperone protein DnaJ
PROD_01242	CDS	1302	fpgS	6.3.2.17		Folylpolyglutamate synthase
PROD_01243	CDS	1089	mro_1	5.1.3.3	COG2017	Aldose 1-epimerase
PROD_01244	CDS	1263				hypothetical protein
PROD_01245	CDS	1164	galK_2	2.7.1.6	COG0153	Galactokinase
PROD_01246	CDS	1071				hypothetical protein
PROD_01247	CDS	1170	mro_2	5.1.3.3	COG2017	Aldose 1-epimerase
PROD_01248	CDS	1692	sglT_2			Sodium/glucose cotransporter
PROD_01249	CDS	726				hypothetical protein
PROD_01250	CDS	702	ulaF	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase UlaF
PROD_01251	CDS	1542	araA	5.3.1.4	COG2160	L-arabinose isomerase
PROD_01252	CDS	1599	araB	2.7.1.16		Ribulokinase
PROD_01253	CDS	1569	abf2	3.2.1.55	COG3534	Intracellular exo-alpha-L-arabinofuranosidase 2
PROD_01254	CDS	2019	tkt	2.2.1.1		Transketolase
PROD_01255	CDS	213				hypothetical protein
PROD_01256	CDS	444	rpiB	5.3.1.6	COG0698	Ribose-5-phosphate isomerase B
PROD_01257	CDS	1344				hypothetical protein
PROD_01258	CDS	1320				hypothetical protein
PROD_01259	CDS	354	ssb		COG0629	Single-stranded DNA-binding protein
PROD_01260	CDS	546				hypothetical protein
PROD_01261	tRNA	74				tRNA-Gly(gcc)
PROD_01262	tRNA	85				tRNA-Leu(gag)
PROD_01263	tRNA	83				tRNA-Leu(cag)
PROD_01264	tRNA	74				tRNA-Gly(gcc)
PROD_01265	CDS	1155	nspC	4.1.1.96		Carboxynorspermidine/carboxyspermidine decarboxylase
PROD_01266	CDS	1701				hypothetical protein
PROD_01267	CDS	369				hypothetical protein
PROD_01268	CDS	1335				hypothetical protein
PROD_01269	CDS	198				hypothetical protein
PROD_01270	CDS	2292				hypothetical protein
PROD_01271	CDS	1206				hypothetical protein
PROD_01272	CDS	1923				hypothetical protein
PROD_01273	CDS	1968				hypothetical protein
PROD_01274	CDS	930				hypothetical protein
PROD_01275	CDS	609	thiE_1	2.5.1.3		Thiamine-phosphate synthase
PROD_01276	CDS	939	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
PROD_01277	CDS	1131	resA_2			Thiol-disulfide oxidoreductase ResA
PROD_01278	CDS	2571	glgP	2.4.1.1	COG0058	Glycogen phosphorylase
PROD_01279	CDS	1704				hypothetical protein
PROD_01280	CDS	426				hypothetical protein
PROD_01281	CDS	1146				Outer membrane protein 41
PROD_01282	CDS	1146				hypothetical protein
PROD_01283	CDS	1959	gyrB_1	5.99.1.3	COG0187	DNA gyrase subunit B
PROD_01284	CDS	1569				hypothetical protein
PROD_01285	CDS	411	ybeY	3.1.-.-		Endoribonuclease YbeY
PROD_01286	CDS	504	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
PROD_01287	CDS	1032	ruvB_2	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
PROD_01288	CDS	660	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
PROD_01289	CDS	2721				hypothetical protein
PROD_01290	CDS	1659				hypothetical protein
PROD_01291	CDS	519				hypothetical protein
PROD_01292	CDS	1065	korB_2	1.2.7.3	COG1013	2-oxoglutarate oxidoreductase subunit KorB
PROD_01293	CDS	420				hypothetical protein
PROD_01294	CDS	138				hypothetical protein
PROD_01295	CDS	1851	korA_2	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
PROD_01296	CDS	132				hypothetical protein
PROD_01297	CDS	2241				hypothetical protein
PROD_01298	CDS	1080	dus	1.3.1.-	COG0042	putative tRNA-dihydrouridine synthase
PROD_01299	CDS	1128				hypothetical protein
PROD_01300	CDS	411		3.1.-.-	COG0824	Putative esterase
PROD_01301	CDS	1299				hypothetical protein
PROD_01302	CDS	3939	rcsC_8	2.7.13.3		Sensor histidine kinase RcsC
PROD_01303	CDS	1353				hypothetical protein
PROD_01304	CDS	495				hypothetical protein
PROD_01305	CDS	1977				hypothetical protein
PROD_01306	CDS	498				hypothetical protein
PROD_01307	CDS	1725				hypothetical protein
PROD_01308	CDS	1887				hypothetical protein
PROD_01309	CDS	105				hypothetical protein
PROD_01310	CDS	567				hypothetical protein
PROD_01311	CDS	534				hypothetical protein
PROD_01312	CDS	1410				hypothetical protein
PROD_01313	CDS	756	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
PROD_01314	CDS	1080				hypothetical protein
PROD_01315	CDS	408				hypothetical protein
PROD_01316	CDS	879				hypothetical protein
PROD_01317	CDS	804				hypothetical protein
PROD_01318	CDS	1434				hypothetical protein
PROD_01319	CDS	462				hypothetical protein
PROD_01320	CDS	426				hypothetical protein
PROD_01321	CDS	1737				hypothetical protein
PROD_01322	CDS	1656				hypothetical protein
PROD_01323	CDS	1122				hypothetical protein
PROD_01324	CDS	252				hypothetical protein
PROD_01325	CDS	1539	zraR_1		COG2204	Transcriptional regulatory protein ZraR
PROD_01326	CDS	2592	rcsC_9	2.7.13.3		Sensor histidine kinase RcsC
PROD_01327	CDS	3027				hypothetical protein
PROD_01328	CDS	2109		3.4.21.26		Prolyl endopeptidase
PROD_01329	CDS	993				hypothetical protein
PROD_01330	CDS	141				hypothetical protein
PROD_01331	CDS	756	frdB	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
PROD_01332	CDS	1992	frdA	1.3.5.4		Fumarate reductase flavoprotein subunit
PROD_01333	CDS	684				hypothetical protein
PROD_01334	CDS	1872	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
PROD_01335	CDS	531	apt	2.4.2.7		Adenine phosphoribosyltransferase
PROD_01336	CDS	1845	uvrC		COG0322	UvrABC system protein C
PROD_01337	CDS	453	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
